"En,sinhala"
"patty,පැටිස් එක"
"paucity,අල්ප බව "
"paunch,බඩ "
"pauper,දිළින්දා "
"pauperise,දිළින්දකු කරනවා"
"pauperism,දැඩි දරිද්‍රතාවය"
"pauperization,හිඟමනට පත් කිරීම"
"pauperize,හිඟමනට පත් කරනවා"
"pause,නැවතුම "
"pave,පාරක ගල් අතුරා තාර දානවා "
"pavement,පදික වේදිකාව "
"paver,ගඩොල් ආදිය අතුරනය හෝ අතුරන්නා "
"pavilion,ක්‍රීඩා පිටියක නරඹන්නන්ගේ ශාලාව "
"paving,පදික වේදිකාව "
"paw,සතකුගේ නිය සහිත පාදය "
"pawl,දැති රෝදයක් චලනය වීම වැළැක්වීමට භාවිත කරන අඩයක් "
"pawn,චෙස් ක්‍රීඩාවේ පෝන් ඉත්තා "
"pawnbroker,උගස් බඩු ගන්නා"
"pawner,බඩු උකස් කරන්නා"
"pawning,බඩු උකස් තැබීම"
"pawnshop,උකස්කරුවා‍ගේ කඩය"
"pawpaw,පැපොල් "
"pay back,ආපසු ගෙවනවා "
"pay dearly,අධික වැයක් ගෙවනවා "
"pay for,මිල ගෙවනවා "
"pay off,ගෙවීමක් "
"pay out,ගෙවීමක් කරනවා "
"pay period,ගෙවුම් කාල සීමාව"
"pay,වැටුප් හෝ දඩය හෝ වන්දිය ගෙවනවා "
"payable,ගෙවිය යුතු "
"payback,මුදල්මය ප්‍රතිලාභය"
"payday,සේවකයන්ගේ පඩි ගෙවන දිනය"
"payee,ආදායක "
"payer,ගෙවන්නා"
"payload,ගුවන් යානයක ලාභ ලබන භාරය "
"paymaster,වැ‍ටුප් ගෙවීම භාර නිලධාරියා"
"payment,ගෙවීම "
"payments,ගෙවීම් "
"payoff,අවසාන ගෙවීමක් කර සේවයෙන් පහ කරනවා "
"payola,නිෂ්පාදනයක් හෝ සේවාවක් ප්‍රවර්ධනය කිරීම වෙනුවෙන් බලවත් පුද්ගලයකුට ගෙවන අල්ලස"
"payroll,පඩි ලැයිස්තුව"
"pays,ප්‍රංශයේ කුඩා ප්‍රදේශයක්"
"pea jacket,නාවිකයාගේ උඩු කබාය"
"pea nut,රට කජු"
"pea-brain,මෝඩයා "
"pea-brained,මෝඩ "
"pea-shooter,බට තුවක්කුව"
"pea,පියලි ඇට වර්ග"
"peace-offering,සාමය උදා කර ගැනීම සඳහා පිරිනමන දෙය"
"peace,සාමය "
"peaceable,සාමයට ලැදි "
"peaceful,ශාන්ත "
"peacefully,ශාන්ත ලෙස "
"peacekeeper,සාමය රකින පුද්ගලයෙක් හෝ සංවිධානයක්"
"peacemaker,සාමය ඇති කරන්නා"
"peach melba,අයිස් ක්‍රීම් හා පීච් එක් වූ රස අහර"
"peach,පීච් නම් පළතුර "
"peacock,මොනරා"
"peafowl,මොනරා "
"peahen,සෙබඩ"
"peak load,යම් උපකරණයකට දැරිය හැකි උපරිම බර "
"peak,මුදුන "
"peaked,ලෙඩ පාට "
"peakedness,සුදුමැලි ගතිය "
"peaky,ලෙඩ පාටැති "
"peal,ඝණ්ඨා නාදය "
"pear-shaped,පෙයාර් ගෙඩියක හැඩැති"
"pear,පෙයාර් ගෙඩිය හෝ ගස"
"pearl oyster,මුතු බෙල්ලා"
"pearl-diver,මුතු කිමිදෙන්නා"
"pearl-fisher,මුතු සෙවීම සඳහා කිමිදින්නා"
"pearl,මුතු කැටය "
"pearled,මුතුවලින් සැරසුන "
"pearlescent,මුතු මෙන් දීප්තිමත්"
"pearls,මුතු පට "
"pearly,මුතු වැනි "
"peasant economy,කෘෂි ආර්ථිකය"
"peasant,ගොවියා "
"peasantry,ගොවි ජනතාව"
"peat bog,ජීර්ණක වගුර"
"peat land,පීට් වගුරු බිම්"
"peat,පීට්"
"peaty,ජීර්ණක"
"pebble,බොරලු කැටය "
"pebbles,බොරලු කැට "
"pebbly,බොරලුවලින් වැසුනු "
"pecan,ශාක විශේෂයක් "
"peccadillo,සුළු පාපයක් හෝ වරදක් "
"peccary,දකුණු අමෙරිකාවේ හමුවන රංචු වශයෙන් හැසිරෙන ඌරකු බඳු ක්ෂීරපායී සතෙක්"
"peck,හොටෙන් කොටනවා හෝ අනිනවා "
"pecker,කොටන පක්ෂියා"
"pecorino,බැටළු කිරිවලින් හදන චීස්"
"pectic,පෙක්ටින්වලට අයත්"
"pectin,පලතුරු සීනි වර්ගයක් "
"pectoral,පපුවට අයත් "
"peculate,පොදු මුදල් වංචා කරනවා"
"peculation,පොදු මුදල් වංචා කිරීම"
"peculator,පොදු මුදල් වංචා කරන්නා"
"peculiar,අරුම පුදුම "
"peculiarity,අසාමාන්‍යය "
"peculiarly,විශේෂයෙන් ම"
"pecuniary,මුදල් පිළිබඳ "
"pedagogics,ඉගැන්වීමේ කලාව හෝ විද්‍යාව"
"pedagogue,ගුරුවරයා "
"pedagogy,ශික්ෂණ විද්‍යාව "
"pedal note,සුසිර භාණ්ඩ සඳහා වූ නාද මාලාවක්"
"pedal pusher,දණ තෙක් වැටෙන කාන්තා කලිසම "
"pedal,පාදිකයා "
"pedalling,බයිසිකල් පැදීම "
"pedant,පණ්ඩිතමානියා "
"pedantic,ඉගෙනීම සම්බන්ධයෙන් ව්‍යාජ විදහා දැක්වීම "
"pedantry,නීති හෝ තොරතුරු ආදියට වහල් අවධානයක් දැක්වීම "
"peddle,ගෙවල් ගානේ ගොස් බඩු විකුණනවා "
"peddler,ගෙවල් ගානේ ගොස් බඩු විකුණන්නා "
"pederast,පිරිමි ළමයකු හා ලිංගික සේවනයේ යෙදෙන පිරිමියා"
"pederasty,පිරිමියකු හා පිරිමි ළමයකු අතර ඇතිවන කාම භෝගය"
"pedestal table,මැදින් තනි ආධාරකයක් යෙදූ මේසය"
"pedestal,පාදකය "
"pedestrian crossing,පදික මාරුව"
"pedestrian,පදිකයා "
"pedestrianise,පයින් යන්නන්ට පමණක් සීමා කරනවා"
"pedestrianize,පයින් යන්නන්ට පමණක් සීමා කරනවා"
"pedicab,පැදි රිය"
"pedicel,පුෂ්ප වෘන්තය"
"pedicle,වෘන්තිකාවය"
"pedicure,පා නිය සැකසුම "
"pedigree,පෙළපත "
"pedigreed,උසස් පෙළපතකින් පැවතෙන "
"pediment,කුරෙන්තිය "
"pedlar,ගෙන් ගෙට ගොස් බඩු විකුණන්නා "
"pedology,පාංශු විද්‍යාව"
"pedometer,පා ගමන් මනුව "
"pedophilia,ළමුන් සමඟ ලිංගික ක්‍රියාකාරකම්වල යෙදීම හෝ ඒ සඳහා දක්වන කැමැත්ත"
"peduncle,නටුව "
"pee,මූත්‍ර කරනවා "
"peek,හොරෙන් බලනවා "
"peel off,කාණ්ඩයකින් වෙන්ව යනවා "
"peel,පොතු අරිනවා "
"peeler,පොතු අරිනය "
"peeling,ලෙලි ගැසීම "
"peen,ඇහැටිය "
"peep show,පෙට්ටියක සිදුරකින් චිත්‍ර පෙළක් නැරඹීමේ ක්‍රමය"
"peep-toe,සපත්තුවක මහපටැඟිල්ල පෙනෙන සේ කපන සිදුර"
"peep,සිදුරකින එබී බලනවා "
"peeper,කාමුක ලෙස එබී බලන්නා"
"peephole,අමුත්තන් හඳුනා ගත හැකි දොර සිදුර"
"peeping tom,කාමුක ලෙස රහස් දේ නරඹන්නා"
"peer group,සමපදස්ථ කණ්ඩායම "
"peer pressure,සමපදස්ථ පෙලඹීම"
"peer-to-peer,සේවා සැපයිය හැකි පරිගණක ජාලයක්"
"peer,අමාරුවෙන් හා සීරුවෙන් බලනවා "
"peerage,රදළ පෙළ "
"peeress,වංශාධිපති කාන්තාව"
"peering,අන්තර්ජාල සේවා සපයන්නන් අතර ඍජු දත්ත හුවමාරුව"
"peerless,සමයෙක් නැති "
"peeve,කරදර කරනවා "
"peeved,කෝපය හෝ අසහනය ඇවිස්සුනු"
"peevish,කලහකාරී "
"peewit,කුරුලු විශේෂයක්"
"peg at,නොකඩවා එකදිගට දිගු කාලයක් යමක යෙදීම"
"peg away,නොකඩවා එකදිගට දිගු කාලයක් යමක යෙදීම"
"peg box,තත් සංගීත භාණ්ඩයක ඇණ සවිකළ කොටස"
"peg down,කෙනෙක් නීතිරීතිවලට හිරකරනවා"
"peg leg,කෘත්‍රිමා පාදය "
"peg,ලී ඇණය "
"pegging,කූඤ්ඤයකින් රැඳවීම "
"peignoir,සැහැල්ලු කාන්තා යට ඇඳුමක්"
"pejorative,අවමානාත්මක "
"pekingese,කෙටි පා ඇති සුනඛ විශේෂයක් "
"pekoe,උසස් තේ වර්ගයක් "
"pelage,ක්ෂීරපායීන්ගේ ලොම් හෝ කෙස් හෝ රෝම ආදිය"
"pelagic,විවෘත මුහුදේ "
"pelargonium,මල් ගසක්"
"pelf,විශේෂයෙන් වංචාවෙන් ලැබූ මුදල් "
"pelican crossing,පදිකයන් විසින් ක්‍රියාත්මක කරවන වර්ණ සංඥා සහිත පදික මාරුව"
"pelican,පැස්තුඩුවා "
"pelisse,කාන්තාවන්ගේ දිග කබාය"
"pell-mell,මහත් කලබලයෙන් "
"pellagra,පෙලග්‍රාව "
"pellet,ගුළිය "
"pellicle,සියුම් සම "
"pellucid,ඉතා පැහැදිලි "
"pelmet,ජනෙල් හිස "
"peloton,බයිසිකල් තරඟයක තරඟකරුවන් රොත්ත"
"pelt,දමා ගසනවා "
"pelvic,ශ්‍රෝණිය හා සම්බන්ධ"
"pelvis,උකුල් ප්‍රදේශය "
"pen-name,ලේඛක ආරූඪ නාමය"
"pen-pusher,නිරතුරු ලිපි කටයුතුවල යෙදෙන්නා "
"pen,පෑන "
"penal servitude,බරපතල වැඩ ඇතිව හිරගෙට යැවීම"
"penal,දණ්ඩන "
"penalise,දඬුවමට යටත් කරනවා "
"penalize,දඬුවමට යටත් කරනවා "
"penalty kick,දඬුවම් පහර"
"penalty,දඬුවම "
"penance,ස්වයං වන්දිය "
"pence,පැන්ස"
"penchant,රුචිය "
"pencil,පැන්සල "
"pendant,ගලක් එල්ලෙන මාලය "
"pendency,ලැබීම "
"pendent,එල්ලෙන "
"pending,අවිනිශ්චිත "
"pendulous,එල්ලෙන "
"pendulum,අවලම්බනය "
"penetrable,විනිවිද ගිය හැකි "
"penetrate,කාවදිනවා "
"penetrating,විනිවිද යන සුලු "
"penetration,විනිවිද යාම "
"penetrative,කා වැදිය හැකි "
"penguin,පෙන්ගුවින් "
"penicillin,පෙනිසීලින් "
"penile,ශිෂ්නයට‍ අදාළ"
"peninsula,අර්ධද්වීපය"
"peninsular,අර්ධද්වීපික"
"penis,ශිශ්නය"
"penitence,පසුතැවිල්ල "
"penitent,පසුතැවෙන "
"penitential,පසුතැවෙන "
"penitentiary,චරිතශෝධක සිපිරිගෙය "
"penknife,කුඩා දුනු පිහිය "
"penlight,පෑනක් බඳු විදුලි පන්දම"
"penman,දක්ෂ ලෙස අතින් ලියන්නා "
"penmanship,අත් අකුරු කලාව "
"pennant,දිග කොඩිය "
"pennies,පැන්ස"
"penniless,මුදල් නැති "
"pennon,තුන් හුලස් හෝ අගින් දෙකට බෙදුණු පටු දිග කොඩිය"
"penny black,ප්‍රථම අලවන මුද්දරය"
"penny wise,ඉතා සුළු දේ ගැන පරීක්ෂාකාරී "
"penny-farthing,මුල් යුගයේ පැවති එක් රෝදයක් විශාල අනෙක කුඩා පාපැදිය"
"penny-pinching,මසුරු "
"penny,පැන්සය"
"penny,පැන්සය "
"pennyroyal,මිංචි පවුලට අයත් ශාකයක්"
"pennyweight,බර මැනීමේ ඒකකයක්"
"pennywort,වටකුරු පත්‍ර සහිත ශාක"
"penology,අපරාධ දඬුවම් හා බන්ධනාගාර පාලනය පිළිබඳ අධ්‍යයනය "
"pensile,පහළට එල්ලෙන "
"pension off,විශ්‍රාම දීමනාවක් දී අස් කරනවා"
"pension,විශ්‍රාම වැටුප "
"pensionable,විශ්‍රාම වැටුප් හිමි "
"pensioner,විශ්‍රාමිකයා"
"pensioners,විශ්‍රාමිකයන්"
"pensive,කල්පනාකාරී "
"penstock,සොරොව්ව "
"pent roof,තනි පියසි වහල"
"pent,තදින් හිරවුණු "
"pentacle,පංචාස්‍ර තරුව"
"pentad,අංක පහ "
"pentagon,පෙන්ටගනය "
"pentagram,පස්කොන "
"pentameter,පස් ගණ පාදය"
"pentathlon,පෙන්ටැතලනය "
"pentatonic,පංචස්වර "
"penthouse,උස් ගොඩනැගිල්ලක ඉහළ ම මාලය "
"pentode,ඉලෙක්ට්‍රෝඩ පහක් සහිත රික්තක නළයක්"
"pentose,කාබන් පරමාණු පහක් අඩංගු මොනොසැකරයිඩයක්"
"penult,අන්තිම අකුරට පෙර"
"penultimate,උපාන්තික "
"penumbra,උපඡායාව "
"penurious,දුප්පත් "
"penury,දිළිඳුකම "
"peon,ලතින් ඇමෙරිකානු ගොවි කම්කරුවා "
"peony,ගෙවතුවල වවන පැළෑටි වර්ගයක්"
"people,ජනතාව "
"pep talk,දිරි ගන්වන කතාව"
"pep,දහිරිය "
"peplum,බ්ලවුස් වැනි ඇඳුමක ඉණ මට්ටමේ රැළි වාටිය"
"pepper-and-salt,කළු සහ අළු පැහැයෙන් යුත්"
"pepper,ගම්මිරිස් "
"pepperbox,කැරකෙන කඳ සහිත තුවක්කුව"
"peppercorn,ගම්මිරිස් ඇටය"
"peppermint,පෙපමින්ට් "
"pepperoni,ගම්මිරිස් යෙදූ පදම් කළ හරක් හෝ ඌරු මස් යෙදූ සොසේජස්"
"peppery,ගම්මිරිස් වැනි "
"peppy,සක්‍රිය "
"pepsin,පෙප්සීන "
"peptic,අහාර දිරවීමට ආධාරක "
"peptidase,පෙප්ටිඩේස් "
"peptide,ඇමිනෝ අම්ල දෙකක් හෝ වැඩි ගණනක් අඩංගු සංයෝගයක්"
"peptize,පෙප්ටයිස් කරනවා"
"peptone,අර්ධ ජල විච්ඡේදනය මගින් ප්‍රෝටීන පරිවර්තනය කරනු ලබන විසරණය වන සුලු ද්‍රව්‍ය පන්තියක් "
"per annum,අවුරුදු පතා "
"per capita,ඒක පුද්ගල "
"per cent,ප්‍රතිශතය "
"per diem,දිනකට "
"per se,එයින් ම "
"per,බැගින් "
"peradventure,සමහර විට "
"perambulate,එහා මෙහා යනවා "
"perambulation,පැදකුණු කිරීම"
"perambulator,ළමා කරත්තය "
"percale,ඇතිරිලි සහ ඇඳුම් සඳහා භාවිත කරන ඝනව වියන ලද කපු රෙදි"
"perceivable,සංජානනය කළ හැකි "
"perceive,බලනවා "
"percentage,ප්‍රතිශතය "
"percentile,ප්‍රතිශතකය"
"percept,සංඥාව "
"perceptibility,සංජානනය කළ හැකි බව "
"perceptible,සංජානනය කළ හැකි "
"perception,සංජානනය "
"perceptive,ප්‍රත්‍යක්ෂ කර ගත හැකි "
"perceptual,සංජානක"
"perch,පක්ෂීන් ලගින තැන "
"perchance,සමහර විට "
"percipient,ප්‍රතිග්‍රාහක "
"percolate,වෑස්සෙනවා "
"percolation,වෑස්සීම "
"percolator,කෝපි සාදන යන්ත්‍රයක්"
"percussion,වස්තූන් දෙකක් එකට ගැටීම "
"perdition,සදා මරණය "
"perdurable,නිත්‍ය "
"peregrinate,සරනවා "
"peregrination,සංචාරය"
"peregrine,පෙරි කුරුලු ගොයා "
"peremptory,අනුල්ලංඝනීය "
"perennial,නිත්‍ය "
"perestroika,ප්‍රතිසංස්කරණ "
"perfect,සම්පූර්ණ "
"perfectibility,පරිපූර්ණතාව "
"perfectible,සම්පූර්ණ කළ හැකි"
"perfection,පරිපූර්ණත්වය "
"perfectionism,පාරප්‍රාප්තාවාදය"
"perfectionist,පාරප්‍රාප්තාවාදය විශ්වාස කරන්නා "
"perfectly,සම්පූර්ණයෙන් ම "
"perfervid,ඉතා දැඩි "
"perfidious,ද්‍රෝහී"
"perfidy,විශ්වාසය කඩ කිරීම "
"perforate,විදිනවා "
"perforated,සිදුරක් හෝ සිදුරු සහිත"
"perforation,සිදුර "
"perforator,විදිනය "
"perforce,නොවැළැක්විය හැකි නිසා "
"perform,කරනවා "
"performance,කිරීම "
"performer,අභිවාහක "
"performing arts,ප්‍රසාංගික කලා "
"performing,නාට්‍යයක අංගයක් හෝ භූමිකාවක් රඟ දැක්වීම"
"perfume,සුමිහිරි සුවඳ "
"perfumer,සුවඳ විලවුන් වෙළෙන්දා"
"perfumery,සුවඳ විලවුන් අළෙවි හල හෝ නිෂ්පාදනාගාරය"
"perfumes,සුවඳ විලවුන්"
"perfunctory,කරන්නන් වාලේ කරන "
"perfuse,දියර ආදිය ඉසිනවා "
"perfusion,දියර ආදිය ඉසීම"
"pergola,ලිය මඩුවෙන් හිස වැසුණු සක්මන "
"perhaps,සමහර විට "
"pericardium,හෘත් කෝශය "
"perigee,භූ-සමීපකය "
"perihelion,සූර්ය සමීපකය "
"peril,තදබල හදිසි අන්තරාය "
"perilous,අන්තරායකර "
"perils,තදබල හදිසි අන්තරායන් "
"perimeter,පරිමිතිය "
"perinatal,පරිසුතීක"
"perineum,අධෝ මාර්ගයේ සිට යෝනි මුඛය හෝ අණ්ඩ කෝෂ දක්වා වූ ප්‍රදේශය"
"period,කාල සීමාව "
"periodic table,ආවර්ත චක්‍රය "
"periodic,අවර්ත "
"periodical,පුවත්පත "
"periodically,කලින් කල "
"periodicity,ආවර්තිතාව"
"periods,ආවර්තිතා වගුවේ පේළි "
"peripatetic,තැනින් තැන යන "
"peripatetics,ඇරිස්ටෝටල්ගේ අනුගාමිකයෝ"
"peripheral,පර්යන්ත "
"periphery,පර්යන්තය "
"periphrasis,වක්‍රෝක්තිය "
"periphrastic,වක්‍රෝක්තිමය"
"periscope,පරීක්ෂය "
"perish,විනාශ වනවා "
"perishable,විනාශ විය හැකි "
"perisher,නරක ගති පැවතුම් ඇති අධම තැනැත්තා"
"perishing,විනාශ වන "
"peristalsis,බඩවැල් වැනි පේශිමය පද්ධතියක හැකිළීම හා දිගහැරීම"
"peritoneum,උදර කුහර බිත්තිය සැදී ඇති තුනී පටලය"
"peritonitis,උදරයේ ඇතුළු ප්‍රදේශය සෑදී ඇති තුනී පටලයේ ඉදිමුම"
"periwig,බොරු කොණ්ඩය"
"periwinkle,වින්කා ග‍ණයේ ශාකයක්"
"perjure,දිවුරා තිබියදීත් හිතාමතා ම බොරු කියනවා "
"perjurer,දිවුරා තිබියදීත් හිතාමතා ම බොරු කියන්නා"
"perjury,බොරු සාක්ෂි කීම"
"perk up,ධෛර්යමත් වනවා "
"perk,තම හිස ඉක්මනින් කෙළින් කර ගන්නවා "
"perky,අහංකාර"
"perm,රැල්ල "
"permafrost,හිමාංකයට අඩු උෂ්ණත්වය "
"permalloy,නිකල් හා යකඩ අඩංගු මිශ්‍රලෝහ සඳහා භාවිත කරන වෙළඳ ලකුණක්"
"permanence,නිත්‍යතාව"
"permanency,නිත්‍යතාව "
"permanent,නිත්‍ය "
"permeability,පාරගම්‍යතාව "
"permeable,පාරගම්‍ය "
"permeate,සම්පූර්ණයෙන් විනිවිද යනවා "
"permeating,සම්පූර්ණයෙන් විනිවිද යන "
"permeation,පැතිරීම "
"permissible,අවසර දිය හැකි "
"permissive,ඉවසන සුලු "
"permit,අවසර දෙනවා "
"permitted,ඉඩ දිය හැකි"
"permittivity,යම් ද්‍රව්‍යයකට එය තුළ විද්‍යුත් ක්ෂේත්‍රයක් නිර්මාණය වීමට එරෙහිව ක්‍රියා කිරීමට ඇති හැකියාව මැනීමේ මිනුමක්"
"permutable,හුවමාරු කළ හැකි "
"permutation,ගණිතයේ එන සංකරණය"
"permute,අනුපිළිවෙළ වෙනස් කරනවා "
"pernicious,විනාශකාරී "
"pernickety,පහසුවෙන් සතුටු කළ නොහැකි "
"perorate,කතාවක් සම්පිණ්ඩනය කර අවසන් කරනවා "
"peroration,කතාවක අවසාන කොටස "
"peroxidase,විශේෂයෙන් ශාක සෛලවල දක්නට ලැබෙන එන්සයිම කාණ්ඩයක්"
"peroxide,පෙරොක්සිල් කාණ්ඩයක් අඩංගු සංයෝගයක් "
"perpendicular,ලම්බක "
"perpendicularity,ලම්බකතාව"
"perpendicularly,ලම්බකතාව"
"perpetrate,වරදක් හෝ අපරාධයක් කරනවා"
"perpetration,වැරදි කිරීම "
"perpetrator,අපරාධකාරයා "
"perpetual,නිත්‍ය "
"perpetuate,සදා පවත්වාගෙන යනවා "
"perpetuation,සදා පවත්වාගෙන යාම "
"perpetuity,නිත්‍යභාවය "
"perplex,ව්‍යාකූල කරනවා "
"perplexity,විමතිය "
"perquisite,අතිරේක ලාභය "
"perquisites,අතිරේක ලාභ "
"perry,පෙයාර්ස් යුෂවලින් සාදන බීම වර්ගයක්"
"persecute,පීඩා කරනවා "
"persecution complex,හිංසන සංකීර්ණය "
"persecution mania,හිංසන සංකීර්ණය "
"persecution,වධ හිංසා කිරීම "
"persecutor,පීඩා කරන්නා "
"perseverance,දැඩි උත්සාහය "
"perseverate,එක දිගට කරගන යනවා "
"perseveration,අභිනිවේශය"
"persevere,අධිෂ්ඨානයෙන් කටයුතු කරගන යනවා "
"persevering,දැඩි උත්සාහයක් පෙන්නුම් කරන "
"persiflage,සරල හා ප්‍රසන්න කතාබහ හෝ ලියවිල්ල"
"persist,නොනවත්වා හෝ නොපසුබටව කරගන යනවා "
"persistence,නොනවත්වා හෝ නොපසුබටව කරගන යාම "
"persistency,නොනවත්වා හෝ නොපසුබටව කරගන යාම "
"persistent,නොකඩවා කරගන යන "
"persisting,නොකඩවා කරගන යන "
"person,පුද්ගලයා "
"persona non grata,පිළිගැනීමට බැරි පුද්ගලයා "
"persona,පුද්ගලයා "
"personable,පෙනුමෙන් හෝ හැසිරීමෙන් ප්‍රසන්න"
"personage,වැදගතා "
"personal,පුද්ගලික "
"personality,පෞරුෂය "
"personalization,පෞද්ගලික කරගැනීම "
"personalize,පෞද්ගලික කරගන්නවා "
"personally,පෞද්ගලිකව ම "
"personalty,පෞද්ගලික දේපළ"
"personate,වෙන කෙනෙකු ලෙස පෙනී සිටිනවා "
"personification,පුද්ගලත්වාරෝපණය "
"personified,පුද්ගලාරෝපණය කළ "
"personify,පුද්ගලාරෝපණය කරනවා "
"personnel,සේවා මඩුල්ල "
"persons,පුද්ගලයන් "
"perspective,පර්යාලෝකය "
"perspex,පාරදෘශ්‍ය ප්ලාස්ටික් විශේෂයක්"
"perspicacious,විනිවිද දක්නා මනසැති "
"perspicacity,තීක්ෂ්ණතාව"
"perspicuity,විශදතාව "
"perspicuous,පහසුවෙන් අවබෝධ වන සුලු "
"perspiration,දහඩිය "
"perspire,දහඩිය දමනවා"
"persuade,නම්මා ගන්නවා "
"persuasion,පෙළඹුම "
"persuasive,නම්මා ගැනීමෙහි සමත් "
"pert,බිය සැක නැති "
"pert,වැඩසටහන් ඇගයීමේ හා පුනරීක්ෂණ ක්‍රමවේදය "
"pertain,අදාළ වනවා "
"pertinacious,හිතුවක්කාර "
"pertinaciously,හිතුවක්කාර ලෙස "
"pertinacity,හිතුවක්කාර බව "
"pertinent,අදාළ "
"perturb,කළඹනවා "
"perturbation,කැළඹීම "
"pertussis,කක්කල් කැස්ස"
"peruke,බොරු කොණ්ඩය"
"perusal,කියවීම "
"peruse,ප්‍රවේසමෙන් කියවනවා "
"pervade,හාත්පස පැතිරී යනවා "
"pervasion,හාත්පස පැතිරී යාම "
"pervasive,පැතිරෙන "
"perverse,නිරන්තර වරදෙහි බැඳුන "
"perverseness,නිරන්තර වරදෙහි බැඳුන බව "
"perversion,දුරාචාරය "
"perversity,නිරන්තර වරදෙහි බැඳුන බව "
"pervert,අනිසි ලෙස හෝ අස්වාභාවික ලෙස යොදා ගන්නවා "
"pervious,පාරගම්‍ය "
"peseta,ස්පාඤ්ඤ මුදල් ඒකකය "
"pesky,පීඩාකාර "
"peso,ලතින් ඇමෙරිකානු රටවල් කිහිපයක ප්‍රධාන මුදල් ඒකකය "
"pessary,ගර්භාෂයට ආධාර වශයෙන් හෝ උපත් පාලන වශයෙන් යෝනි ගත කරන උපකරණයක්"
"pessimism,සර්ව අශුභවාදය "
"pessimist,සර්ව අශුභවාදියා"
"pessimistic,සර්ව අශුභවාදී"
"pest,කරදරකාරයා "
"pester,ඉල්ලීම් ආදියෙන් නිතර කරදර කරනවා"
"pesticide,පළිබෝධ නාශකය"
"pestiferous,විෂ සහිත "
"pestilence,වසංගතය "
"pestilent,පණට අහිතකර "
"pestilential,වසංගතයකට සම්බන්ධ "
"pestle,මෝල්ගහ "
"pet,සුරතලයට ඇති කරන සතා "
"petal,මල් පෙත්ත "
"petard,කුඩා බෝම්බයක් "
"peter pan,තරුණ පෙනුම රැකගන්නා "
"peter,ක්‍රමයෙන් අඩුවී යනවා "
"pethidine,ඉක්මනින් ක්‍රියා කරන නිර්වින්දන බෙහෙතක්"
"petiole,කොළ නටුව "
"petit mal,සුළු අපස්මාරය"
"petit,කුඩා "
"petite,කෝමළ පුංචි සිරුරැති"
"petition,ලිඛිත ආයාචනය "
"petitioner,ආයාචනය කරන්නා "
"petrel,පිටරැළයා "
"petrifaction,පාෂාණීභවනය "
"petrification,ගල්වීම "
"petrify,බියෙන් ගල් ගැහෙනවා "
"petrochemical,පෙට්රො රසායනික ද්‍රව්‍යය "
"petrodollar,පෙට්රෝ ඩොලරය "
"petrography,පාෂාණ සංයුති විද්‍යාව"
"petrol,පැට්‍රෝල්"
"petroleum,ඛනිජ තෙල් "
"petrology,පාෂාණ විද්‍යාව"
"petticoat,යටගවුම "
"pettifog,නීතිමය වංචාවෙහි හෝ රැවටීමෙහි යෙදෙනවා "
"pettifogger,කපටි නීතිඥයා "
"pettifogging,නොවැදගත් "
"pettiness,නොවැදගත් බව "
"petting,තම සහකරුවා හෝ සහකාරිය අනුරාගීව සිපගැනීම"
"pettish,කළහකාරී "
"petty cash,සුළු මුදල් "
"petty,නොවැදගත් "
"petulance,කළහකාරී බව "
"petulant,කළහකාරී ලෙස "
"petunia,පෙටුනීයා "
"pew,දෙව් මැදුරේ දිගු ආසනය"
"pewter,පියුටර ලෝහය "
"peyote,මෙක්සිකානු පතොක් වර්ගයක් "
"pfennig,ෆෙනිග් "
"phaeton,ආසන එකක් හෝ දෙකක් ඇති සැහැල්ලු අශ්ව රථයක් "
"phagocyte,ෆැගොසයිට සෛලය"
"phalange,ඇඟිලි ඇටය "
"phalanges,ඇඟිලි ඇට "
"phalanx,ඇඟිලි ඇටය "
"phallic,ශෛශ්න"
"phallus,ශිශ්නය "
"phantasm,මායාව "
"phantasmagoria,සිහිනවල දී දකින අහම්බෙන් එක් කරන ලද දර්ශන සමූහයක් "
"phantasmal,මායාවක් වැනි "
"phantom,අවතාරය "
"pharaoh,පාරාවෝ"
"pharisaic,ව්‍යාජ භක්තික"
"pharisaical,ව්‍යාජ භක්තික"
"pharisee,ව්‍යාජ භක්තිකයා "
"pharmaceutical,ඖෂධ සම්බන්ධ"
"pharmacist,ඖෂධ වේදියා"
"pharmacology,ඖෂධ විද්‍යාව "
"pharmacopoeia,ඖෂධසංග්‍රහය"
"pharmacotherapy,ඖෂධ චිකිත්සාව"
"pharmacy,ඖෂධාගාරය "
"pharos,පහන්කණුව"
"pharyngitis,උගුරේ දැවිල්ල "
"pharynx,උගුරේ කෙළවර කොටස "
"phase,අංශය "
"phasing,කලාස්ථ කිරීම"
"pheasant,වලිකුකුළාට සමාන පක්ෂිවර්ගයක්"
"phenacetin,පෙනසිටින්"
"phenol,ඇරෝමැටික හයිඩොකාබනයක ව්‍යත්පන්නය "
"phenomena,සංසිද්ධි "
"phenomenal,අති විශාල "
"phenomenology,ජීවර්තු විද්‍යාව "
"phenomenon,අද්භූත සිද්ධිය "
"phenotype,රූපානුදර්ශය"
"phenotypic,රූපානුදර්ශී "
"phenylalanine,පෙනිල් ඇලනයින්"
"phi-coefficient,ඵයි සංගුණකය "
"phi-phenomenon,පෛ සංසිද්ධිය"
